ccode,year,protestnumber,polity2,pop,rgdpna,emp,pl_c,Europe,pop_mean,rgdp_mean,eu,emp_mean
316,1995,2,10.0,10.335556,184894.9375,5.1113386154174805,0.325523253912246,1,40.149639673006035,391199.3985785496,1,17.359893423721104
316,1996,1,10.0,10.326682,192813.625,5.139388084411621,0.34058673596576694,1,40.149639673006035,391199.3985785496,1,17.359893423721104
316,1997,1,10.0,10.313836,191513.53125,5.102485179901123,0.31873911403285493,1,40.149639673006035,391199.3985785496,1,17.359893423721104
316,1998,1,10.0,10.297977,190908.28125,5.011009693145752,0.3405008911871322,1,40.149639673006035,391199.3985785496,1,17.359893423721104
316,1999,1,10.0,10.280524999999999,193653.640625,4.899742603302002,0.3245142868964337,1,40.149639673006035,391199.3985785496,1,17.359893423721104
316,2000,1,10.0,10.26301,201969.390625,4.856553077697754,0.29879827123965563,1,40.149639673006035,391199.3985785496,1,17.359893423721104
316,2001,1,10.0,10.244261,208132.53125,4.843522071838379,0.3052747512476792,1,40.149639673006035,391199.3985785496,1,17.359893423721104
316,2002,1,10.0,10.225197999999999,211560.375,4.87164831161499,0.37403275559394755,1,40.149639673006035,391199.3985785496,1,17.359893423721104
316,2003,1,10.0,10.211846,219180.4375,4.825484752655029,0.43762304608402086,1,40.149639673006035,391199.3985785496,1,17.359893423721104
316,2004,1,10.0,10.212088,230024.296875,4.812385559082031,0.49775677389836326,1,40.149639673006035,391199.3985785496,1,17.359893423721104
316,2005,1,10.0,10.230877,244843.078125,4.905357360839844,0.5341721986152835,1,40.149639673006035,391199.3985785496,1,17.359893423721104
316,2006,1,9.0,10.271476,261679.8125,4.975053787231445,0.5813416412663458,1,40.149639673006035,391199.3985785496,1,17.359893423721104
316,2007,1,9.0,10.330487,276148.78125,5.076056957244873,0.6540772152175576,1,40.149639673006035,391199.3985785496,1,17.359893423721104
316,2008,1,9.0,10.397984,283635.0625,5.175487518310547,0.8486923901566386,1,40.149639673006035,391199.3985785496,1,17.359893423721104
316,2009,1,9.0,10.460022,269902.0625,5.08180046081543,0.7429132434660696,1,40.149639673006035,391199.3985785496,1,17.359893423721104
316,2010,1,9.0,10.506617,276096.5625,5.036021709442139,0.7463351589992581,1,40.149639673006035,391199.3985785496,1,17.359893423721104
316,2011,1,9.0,10.533985,281526.3125,5.024724960327148,0.7837856592038815,1,40.149639673006035,391199.3985785496,1,17.359893423721104
316,2012,1,9.0,10.545161,278991.6875,5.042363166809082,0.7111558374907099,1,40.149639673006035,391199.3985785496,1,17.359893423721104
316,2013,1,9.0,10.545314,277518.15625,5.050136089324951,0.6915980236710866,1,40.149639673006035,391199.3985785496,1,17.359893423721104
316,2014,1,9.0,10.542665999999999,283007.875,5.0684404373168945,0.647087158096348,1,40.149639673006035,391199.3985785496,1,17.359893423721104
390,1990,1,10.0,5.140332,172185.609375,2.617483377456665,1.0143607076201275,1,40.149639673006035,391199.3985785496,1,17.359893423721104
390,1991,1,10.0,5.154309,174424.765625,2.6018784046173096,1.0070563137994681,1,40.149639673006035,391199.3985785496,1,17.359893423721104
390,1992,1,10.0,5.171304,177870.453125,2.573155641555786,1.077333322029359,1,40.149639673006035,391199.3985785496,1,17.359893423721104
390,1993,2,10.0,5.190631,177711.078125,2.5366971492767334,1.0103622466467514,1,40.149639673006035,391199.3985785496,1,17.359893423721104
390,1994,1,10.0,5.211321,187530.3125,2.580030918121338,1.0507476744632338,1,40.149639673006035,391199.3985785496,1,17.359893423721104
390,1995,1,10.0,5.232582,193278.453125,2.596985101699829,1.1972039204839826,1,40.149639673006035,391199.3985785496,1,17.359893423721104
390,1996,1,10.0,5.254383,198883.78125,2.617168664932251,1.1562319081753203,1,40.149639673006035,391199.3985785496,1,17.359893423721104
390,1997,1,10.0,5.276682999999999,205369.171875,2.6524910926818848,0.9959635571954645,1,40.149639673006035,391199.3985785496,1,17.359893423721104
390,1998,1,10.0,5.29868,209924.546875,2.689925193786621,0.9568586552386712,1,40.149639673006035,391199.3985785496,1,17.359893423721104
390,1999,1,10.0,5.3194099999999995,216113.15625,2.7106311321258545,0.9345994904274029,1,40.149639673006035,391199.3985785496,1,17.359893423721104
390,2000,1,10.0,5.338283,224210.671875,2.730443239212036,0.8246601920698973,1,40.149639673006035,391199.3985785496,1,17.359893423721104
390,2001,1,10.0,5.354704,226056.28125,2.755422592163086,0.8384828530416186,1,40.149639673006035,391199.3985785496,1,17.359893423721104
390,2002,1,10.0,5.369058,227110.375,2.75510835647583,0.8911401854151058,1,40.149639673006035,391199.3985785496,1,17.359893423721104
390,2003,1,10.0,5.382953,227996.3125,2.726335048675537,1.1446809828234048,1,40.149639673006035,391199.3985785496,1,17.359893423721104
390,2004,1,10.0,5.398645,234013.03125,2.708601236343384,1.272387337176866,1,40.149639673006035,391199.3985785496,1,17.359893423721104
390,2005,1,10.0,5.417692,239716.0,2.7465765476226807,1.3029521144356433,1,40.149639673006035,391199.3985785496,1,17.359893423721104
390,2006,1,10.0,5.440696,248817.390625,2.8088552951812744,1.3211367975577148,1,40.149639673006035,391199.3985785496,1,17.359893423721104
390,2007,2,10.0,5.466988,250868.6875,2.8764045238494873,1.44705336179504,1,40.149639673006035,391199.3985785496,1,17.359893423721104
390,2008,2,10.0,5.495302,249067.5625,2.9156126976013184,1.542066242258584,1,40.149639673006035,391199.3985785496,1,17.359893423721104
390,2009,1,10.0,5.5237549999999995,236395.15625,2.834929943084717,1.4624913417895935,1,40.149639673006035,391199.3985785496,1,17.359893423721104
390,2010,1,10.0,5.550959,240236.890625,2.77569317817688,1.4110215773335502,1,40.149639673006035,391199.3985785496,1,17.359893423721104
390,2011,1,10.0,5.5765769999999995,243004.765625,2.779268980026245,1.5063083561583444,1,40.149639673006035,391199.3985785496,1,17.359893423721104
390,2012,1,10.0,5.600972,242826.59375,2.7765133380889893,1.3791997243377174,1,40.149639673006035,391199.3985785496,1,17.359893423721104
390,2013,1,10.0,5.624293,242234.625,2.7825636863708496,1.4029730551808848,1,40.149639673006035,391199.3985785496,1,17.359893423721104
390,2014,1,10.0,5.6468989999999994,245291.40625,2.8066797256469727,1.4158545815177195,1,40.149639673006035,391199.3985785496,1,17.359893423721104
522,1990,1,-8.0,0.588356,1181.030029296875,0.08616839349269867,0.2811777645446409,0,40.149639673006035,391199.3985785496,1,17.359893423721104
522,1991,1,-8.0,0.610679,1143.8668212890625,0.08904899656772614,0.4212203025492773,0,40.149639673006035,391199.3985785496,1,17.359893423721104
522,1992,1,-7.0,0.6270629999999999,1210.9298095703125,0.092057004570961,0.3860170169170281,0,40.149639673006035,391199.3985785496,1,17.359893423721104
522,1993,1,-7.0,0.639215,1269.5281982421875,0.09494800120592117,0.24437360214735807,0,40.149639673006035,391199.3985785496,1,17.359893423721104
522,1994,1,-7.0,0.649878,1238.767333984375,0.09807199984788895,0.49309893185891907,0,40.149639673006035,391199.3985785496,1,17.359893423721104
522,1995,1,-7.0,0.661076,1308.1573486328125,0.10081499814987183,0.3576228856199724,0,40.149639673006035,391199.3985785496,1,17.359893423721104
522,1996,1,-6.0,0.673202,1241.559814453125,0.10390400141477585,0.407350757187487,0,40.149639673006035,391199.3985785496,1,17.359893423721104
522,1997,1,-6.0,0.6856439999999999,1298.71826171875,0.1069599986076355,0.34475822482245755,0,40.149639673006035,391199.3985785496,1,17.359893423721104
522,1998,1,-6.0,0.698256,1296.3126220703125,0.10990400612354279,0.3544608165840275,0,40.149639673006035,391199.3985785496,1,17.359893423721104
522,1999,1,2.0,0.710652,1324.559326171875,0.11317499727010727,0.25896692283771056,0,40.149639673006035,391199.3985785496,1,17.359893423721104
522,2000,1,2.0,0.7225619999999999,1341.74462890625,0.11662399768829346,0.3291982526926035,0,40.149639673006035,391199.3985785496,1,17.359893423721104
522,2001,1,2.0,0.734088,1368.5794677734375,0.12026599794626236,0.3444766019218262,0,40.149639673006035,391199.3985785496,1,17.359893423721104
522,2002,1,2.0,0.745459,1404.16259765625,0.08864500373601913,0.37753067355116654,0,40.149639673006035,391199.3985785496,1,17.359893423721104
522,2003,1,2.0,0.756656,1449.0958251953125,0.09158799797296524,0.43286642723518015,0,40.149639673006035,391199.3985785496,1,17.359893423721104
522,2004,1,2.0,0.767644,1492.1339111328125,0.09462600201368332,0.4189046165073587,0,40.149639673006035,391199.3985785496,1,17.359893423721104
522,2005,2,2.0,0.7784059999999999,1539.4345703125,0.09779299795627594,0.42114104155017007,0,40.149639673006035,391199.3985785496,1,17.359893423721104
522,2006,1,2.0,0.788941,1734.9427490234375,0.10080700367689133,0.36740940094413493,0,40.149639673006035,391199.3985785496,1,17.359893423721104
522,2007,1,2.0,0.7993089999999999,1821.68994140625,0.10394000262022018,0.411032031873281,0,40.149639673006035,391199.3985785496,1,17.359893423721104
522,2008,1,2.0,0.809639,1920.0611572265625,0.10721400380134583,0.44152020381383367,0,40.149639673006035,391199.3985785496,1,17.359893423721104
522,2009,1,2.0,0.820097,2016.064208984375,0.11047300696372986,0.48734695529451866,0,40.149639673006035,391199.3985785496,1,17.359893423721104
522,2010,1,2.0,0.8308019999999999,2086.62646484375,0.11369400471448898,0.4749814098381307,0,40.149639673006035,391199.3985785496,1,17.359893423721104
522,2011,1,2.0,0.8418019999999999,2180.524658203125,0.11666800826787949,0.5367237228936301,0,40.149639673006035,391199.3985785496,1,17.359893423721104
522,2012,1,2.0,0.853069,2285.18994140625,0.11960100382566452,0.5310289880437598,0,40.149639673006035,391199.3985785496,1,17.359893423721104
522,2013,1,3.0,0.8645539999999999,2399.44921875,0.12242099642753601,0.6573435538297352,0,40.149639673006035,391199.3985785496,1,17.359893423721104
522,2014,1,3.0,0.876174,2543.416259765625,0.13580499589443207,0.6667110274878327,0,40.149639673006035,391199.3985785496,1,17.359893423721104
42,1990,4,6.0,7.1836459999999995,39328.0546875,2.1585817337036133,0.3054784481105284,0,40.149639673006035,391199.3985785496,1,17.359893423721104
42,1991,3,6.0,7.325622,39630.76171875,2.214773654937744,0.3169856851738224,0,40.149639673006035,391199.3985785496,1,17.359893423721104
42,1992,1,6.0,7.468551,43797.24609375,2.2352495193481445,0.33025100514372907,0,40.149639673006035,391199.3985785496,1,17.359893423721104
42,1993,1,6.0,7.611463,46960.453125,2.3064892292022705,0.3440968202051323,0,40.149639673006035,391199.3985785496,1,17.359893423721104
42,1994,2,5.0,7.753051999999999,48042.10546875,2.4725239276885986,0.3606514457691459,0,40.149639673006035,391199.3985785496,1,17.359893423721104
42,1995,6,5.0,7.8924199999999995,50681.39453125,2.5391743183135986,0.3726727770269346,0,40.149639673006035,391199.3985785496,1,17.359893423721104
42,1996,3,8.0,8.029114,54295.66796875,2.565598964691162,0.3792535702842018,0,40.149639673006035,391199.3985785496,1,17.359893423721104
42,1997,5,8.0,8.163473999999999,58641.640625,2.6929783821105957,0.3865324199453299,0,40.149639673006035,391199.3985785496,1,17.359893423721104
42,1998,4,8.0,8.296375,62752.80078125,2.9295601844787598,0.3762788505052686,0,40.149639673006035,391199.3985785496,1,17.359893423721104
42,1999,2,8.0,8.429116,66966.7421875,3.0169484615325928,0.36938405108927247,0,40.149639673006035,391199.3985785496,1,17.359893423721104
42,2000,1,8.0,8.562623,70754.8515625,3.075011730194092,0.3920205891001952,0,40.149639673006035,391199.3985785496,1,17.359893423721104
42,2001,3,8.0,8.697127,72034.96875,3.031115770339966,0.39055337658444034,0,40.149639673006035,391199.3985785496,1,17.359893423721104
42,2002,1,8.0,8.832286,76204.53125,3.1324667930603027,0.3761429059501064,0,40.149639673006035,391199.3985785496,1,17.359893423721104
42,2003,2,8.0,8.967759,76011.4296875,3.11806058883667,0.3169533748544253,0,40.149639673006035,391199.3985785496,1,17.359893423721104
42,2004,1,8.0,9.102997,77008.640625,3.235307455062866,0.3293128097448993,0,40.149639673006035,391199.3985785496,1,17.359893423721104
42,2005,1,8.0,9.237565,84141.7578125,3.3027946949005127,0.45429184530009764,0,40.149639673006035,391199.3985785496,1,17.359893423721104
42,2006,1,8.0,9.371333,93120.65625,3.4635860919952393,0.4351914376532259,0,40.149639673006035,391199.3985785496,1,17.359893423721104
42,2007,1,8.0,9.504336,101012.3515625,3.5780189037323,0.4564311234748809,0,40.149639673006035,391199.3985785496,1,17.359893423721104
42,2008,1,8.0,9.636491,104187.890625,3.6874823570251465,0.48140958403024103,0,40.149639673006035,391199.3985785496,1,17.359893423721104
42,2009,1,8.0,9.767737,105162.859375,3.6215524673461914,0.46250799870229053,0,40.149639673006035,391199.3985785496,1,17.359893423721104
42,2010,1,8.0,9.897983,113893.640625,3.7821462154388428,0.47280341641327345,0,40.149639673006035,391199.3985785496,1,17.359893423721104
42,2011,1,8.0,10.02714,117106.4453125,3.940260648727417,0.5023695521462007,0,40.149639673006035,391199.3985785496,1,17.359893423721104
42,2012,2,8.0,10.155035999999999,120185.765625,4.017108917236328,0.5030928424823656,0,40.149639673006035,391199.3985785496,1,17.359893423721104
42,2013,1,8.0,10.281407999999999,125927.9375,4.043355464935303,0.4895166454893362,0,40.149639673006035,391199.3985785496,1,17.359893423721104
42,2014,1,8.0,10.405942999999999,135172.15625,4.223328113555908,0.48351652166291703,0,40.149639673006035,391199.3985785496,1,17.359893423721104
130,1990,3,9.0,10.218085,74111.4296875,3.2282862663269043,0.3040684388181465,0,40.149639673006035,391199.3985785496,1,17.359893423721104
